game,steps,loss,exploration,reward
176,78,,1.0,0.0
177,100,,1.0,0.0
178,71,,1.0,0.0
179,83,,1.0,0.0
180,107,,1.0,0.0
181,111,,1.0,0.0
182,75,,1.0,0.0
183,125,,1.0,1.0
184,74,,1.0,0.0
185,60,,1.0,0.0
186,107,,1.0,0.0
187,89,,1.0,0.0
188,96,,1.0,0.0
189,71,,1.0,0.0
190,115,,1.0,0.0
191,47,,1.0,0.0
192,81,,1.0,0.0
193,108,,1.0,0.0
194,86,,1.0,0.0
195,91,,1.0,0.0
196,87,,1.0,0.0
197,71,,1.0,0.0
198,90,,1.0,0.0
199,97,,1.0,0.0
200,85,,1.0,0.0
201,133,,1.0,0.0
202,95,,1.0,0.0
203,153,,1.0,0.0
204,122,,1.0,1.0
205,120,,1.0,1.0
206,111,,1.0,0.0
207,92,,1.0,0.0
208,82,,1.0,0.0
209,109,,1.0,0.0
210,95,,1.0,0.0
211,128,,1.0,0.0
212,91,,1.0,0.0
213,125,,1.0,0.0
214,101,,1.0,0.0
215,70,,1.0,0.0
216,65,,1.0,0.0
217,111,,1.0,0.0
218,113,,1.0,0.0
219,63,,1.0,0.0
220,116,,1.0,0.0
221,98,,1.0,1.0
222,114,,1.0,0.0
223,96,,1.0,0.0
224,131,,1.0,0.0
225,90,,1.0,0.0
226,105,,1.0,0.0
227,116,,1.0,0.0
228,89,,1.0,0.0
229,100,,1.0,0.0
230,85,,1.0,0.0
231,110,,1.0,0.0
232,102,,1.0,0.0
233,103,,1.0,0.0
234,80,,1.0,0.0
235,105,,1.0,0.0
236,85,,1.0,0.0
237,116,,1.0,0.0
238,99,,1.0,0.0
239,114,,1.0,0.0
240,122,,1.0,0.0
241,87,,1.0,0.0
242,123,,1.0,0.0
243,119,,1.0,0.0
244,79,,1.0,0.0
245,121,,1.0,0.0
246,113,,1.0,0.0
247,119,,1.0,0.0
248,116,,1.0,0.0
249,93,,1.0,0.0
250,59,,1.0,0.0
251,110,,1.0,0.0
252,109,,1.0,0.0
253,105,,1.0,0.0
