game,steps,loss,exploration,reward
188,131,1.5500934896495788,0.9750250000000035,3022
189,228,1.3252736358323058,0.9748252000000035,4520
190,160,1.3940747793730315,0.9746254000000035,4942
191,230,1.8122754507405692,0.9744256000000036,5138
192,205,1.5959383853455247,0.9742258000000036,3842
193,261,1.3930601064300474,0.9740260000000036,6860
194,187,1.2736274960686251,0.9738262000000036,2483
195,133,1.3400268517259153,0.9736264000000037,3798
196,227,1.715428086750948,0.9734266000000037,5658
197,315,1.620015207785961,0.9732268000000037,6581
198,213,1.3680159347677119,0.9730270000000038,3640
199,187,1.3535947004707745,0.9728272000000038,2321
200,149,1.297603807335308,0.9726274000000038,4742
201,199,1.7927531688779217,0.9724276000000038,5173
202,179,1.424950170357192,0.9722278000000039,4082
203,284,1.346942575319214,0.9720280000000039,2998
204,253,1.3357649792681683,0.9718282000000039,4893
205,241,1.3503441027058831,0.9716284000000039,5661
206,244,1.736203970727052,0.971428600000004,3465
207,197,1.4844866236940477,0.971228800000004,5633
208,169,1.4343058352790923,0.971029000000004,3531
209,217,1.293275542816942,0.9708292000000041,4852
210,173,1.325381455888877,0.9706294000000041,2876
211,187,1.71667919602505,0.9704296000000041,3613
212,170,1.4456219780492887,0.9702298000000041,3590
213,265,1.4419978704597645,0.9700300000000042,2713
214,223,1.4999049877830843,0.9698302000000042,3629
215,241,1.3761067862704015,0.9696304000000042,4226
216,197,1.685790923726014,0.9694306000000043,4817
217,172,1.4474255170008932,0.9692308000000043,4526
218,219,1.4794544553970912,0.9690310000000043,5742
219,178,1.4500670662895168,0.9688312000000043,6634
220,221,1.3755612168123383,0.9686314000000044,1894
221,190,1.7547956578110773,0.9684316000000044,5445
222,133,1.5517095491575412,0.9682318000000044,3926
223,185,1.480275449005311,0.9680320000000044,5090
224,219,1.4169173152420498,0.9678322000000045,5462
225,164,1.3887928821078743,0.9676324000000045,5195
226,224,1.7041489212867473,0.9674326000000045,2984
227,220,1.5158405765942635,0.9672328000000046,4525
228,202,1.4779541661830546,0.9670330000000046,4901
229,249,1.393742017012491,0.9668332000000046,5080
230,221,1.2460712954383597,0.9666334000000046,4289
231,169,1.698806703894584,0.9664336000000047,3272
232,249,1.6455058965249392,0.9662338000000047,7142
233,177,1.4165489207390571,0.9660340000000047,4704
234,226,1.4968198644709028,0.9658342000000048,4583
235,255,1.2864513157109967,0.9656344000000048,6153
236,153,1.6773153245402694,0.9654346000000048,3287
237,161,1.4548505981876798,0.9652348000000048,1845
238,260,1.377798237375268,0.9650350000000049,3564
239,276,1.371596930469072,0.9648352000000049,6245
240,168,1.2885221493339674,0.9646354000000049,6208
241,176,1.6659473506163578,0.9644356000000049,4809
242,242,1.5607245703890071,0.964235800000005,2258
243,196,1.4159877207681473,0.964036000000005,3894
244,193,1.3168681511356228,0.963836200000005,2676
245,186,1.4429301843899822,0.9636364000000051,2492
246,225,1.566527872386778,0.9634366000000051,2702
247,102,1.4798650713981973,0.9632368000000051,2951
248,222,1.5184506668565636,0.9630370000000051,4510
249,163,1.4650158335592216,0.9628372000000052,5536
250,213,1.2460795022407543,0.9626374000000052,7206
251,213,1.5593431467143175,0.9624376000000052,6230
252,134,1.5508253063843793,0.9622378000000053,2861
253,221,1.4360856632941326,0.9620380000000053,1069
254,201,1.4652565453729678,0.9618382000000053,4899
255,159,1.4346739545800353,0.9616384000000053,1802
256,234,1.7066589063348232,0.9614386000000054,5136
257,236,1.6439600752527181,0.9612388000000054,2186
258,191,1.5065588886209065,0.9610390000000054,3338
259,163,1.5280447301329285,0.9608392000000054,2217
260,205,1.4693329502327026,0.9606394000000055,3733
261,215,1.662515281169109,0.9604396000000055,5276
262,217,1.4738427408723058,0.9602398000000055,4276
263,231,1.553443466753994,0.9600400000000056,5639
264,232,1.4510578714499418,0.9598402000000056,4514
265,154,1.5012410933098184,0.9596404000000056,3536
266,219,1.6217146436829992,0.9594406000000056,5866
267,279,1.5471676666398406,0.9592408000000057,4384
268,197,1.542798163707062,0.9590410000000057,3083
